Model,Mean Rank,Rank Std,Best Rank,Worst Rank,Rank Range
bge_large,7.96875,5.7863884821766565,2.0,18.0,16.0
e5_large,8.375,5.5362442142665635,1.0,21.0,20.0
bge_base,8.84375,4.040291862394762,3.0,19.0,16.0
tfidf,9.0,4.564354645876384,1.0,15.0,14.0
gte_base,9.09375,5.721942414949665,2.0,19.0,17.0
e5_base,9.40625,5.678082863079756,1.0,22.0,21.0
gte_small,9.65625,5.918104285439158,1.0,19.0,18.0
bge_small,9.71875,4.139117256936154,5.0,17.0,12.0
mpnet,11.46875,9.611570717976676,1.0,23.0,22.0
e5_small,11.8125,3.8508657035355918,1.0,15.0,14.0
bert,11.90625,7.250790186823318,2.0,20.0,18.0
instructor_base,11.90625,3.493893482444287,7.0,19.0,12.0
distilbert_base_uncased,12.0,6.945022198188666,1.0,20.0,19.0
ogbert_110m_base,13.28125,6.363879189090042,2.5,20.0,17.5
minilm,13.28125,7.389110794495731,2.0,22.0,20.0
ogbert_110m_sentence,13.40625,6.218838985963002,2.5,20.0,17.5
gtr_t5_large,13.53125,4.577003204426815,6.0,20.0,14.0
tf,14.076923076923077,4.764653510689216,7.0,21.0,14.0
gtr_t5_base,14.375,5.734399125743981,1.0,22.0,21.0
ogbert_v1_mlm,15.40625,6.170409899944519,2.0,21.0,19.0
roberta,15.71875,6.95933126576589,2.0,23.0,21.0
kl3m_pico,16.53125,5.681750757175703,5.0,23.0,18.0
ogbert_2m_sentence,17.09375,5.4687559523777125,7.0,23.0,16.0
bm25,17.38888888888889,3.5247143304261,13.0,23.0,10.0
