Task,Champion,Champion Score,Runner-up,Runner-up Score,Gap,Last Place,Last Score,Range
category_retrieval,e5_base,0.49643538293724976,roberta,0.49404085403210024,0.0023945289051495178,bm25,0.2843133902574539,0.21212199267979587
form_retrieval,e5_base,0.13881858824291676,roberta,0.126596314072613,0.012222274170303776,mpnet,0.06207755673749069,0.07674103150542608
geographic_clustering,gtr_t5_base,0.024778262393738384,ogbert_v1_mlm,0.020354951767581557,0.0044233106261568275,roberta,0.0032236761188805564,0.021554586274857828
lcc_classification,tfidf,0.8781146397070739,bge_large,0.8642627756553493,0.013851864051724672,ogbert_2m_sentence,0.5465447546584585,0.3315698850486154
lcc_clustering,mpnet,0.5693844599171988,gte_base,0.5639300340455159,0.0054544258716828775,roberta,0.012277812483373111,0.5571066474338257
lcc_retrieval,mpnet,0.6738000290816337,bge_large,0.6527991893260345,0.021000839755599188,kl3m_pico,0.2600401222814152,0.4137599068002185
lcgft_category_classification,e5_large,0.7748775495303172,e5_base,0.7661866741392946,0.008690875391022534,ogbert_2m_sentence,0.4792508528349263,0.2956266966953909
lcgft_clustering,distilbert_base_uncased,0.17533702307404442,bert,0.17218083476832377,0.0031561883057206475,mpnet,0.03115416560033351,0.1441828574737109
register_classification,tfidf,0.6716212119236669,bert,0.5998117288000684,0.07180948312359847,ogbert_2m_sentence,0.39963232427696205,0.2719888876467048
register_clustering,distilbert_base_uncased,0.09489479037723103,ogbert_110m_base,0.09463633869653812,0.0002584516806929116,mpnet,0.002000962947716151,0.09289382742951488
same_audience_pairs,mpnet,0.6677852348993288,bert,0.6666666666666666,0.0011185682326622093,tfidf,0.6666666666666666,0.0011185682326622093
same_form_pairs,gte_small,0.6830827067669173,bge_large,0.676950354609929,0.006132352156988263,ogbert_v1_mlm,0.6666666666666666,0.016416040100250662
same_lcc_pairs,mpnet,0.7743362831858407,gte_base,0.7666666666666667,0.007669616519173972,tf,0.6666666666666666,0.10766961651917406
same_register_pairs,e5_small,0.6672297297297297,e5_large,0.6667785234899329,0.0004512062397967753,tfidf,0.6666666666666666,0.0005630630630630851
same_topic_pairs,mpnet,0.7700892857142857,gte_base,0.7402654867256637,0.029823798988621975,tf,0.6666666666666666,0.10342261904761907
topic_overlap_pairs,mpnet,0.8256693235234007,minilm,0.8072434607645875,0.018425862758813194,tf,0.7389885807504079,0.08668074277299287
