,category_retrieval,form_retrieval,geographic_clustering,lcc_classification,lcc_clustering,lcc_retrieval,lcgft_category_classification,lcgft_clustering,register_classification,register_clustering,same_audience_pairs,same_form_pairs,same_lcc_pairs,same_register_pairs,same_topic_pairs,topic_overlap_pairs
gtr_t5_large,0.3539494802602296,0.08512698449095808,0.019079242479565297,0.8349612318934874,0.4936656081748035,0.5908047109182116,0.7036250926767152,0.06949588367302575,0.4933664724332227,0.004524117294840878,0.6666666666666666,0.6666666666666666,0.6877118644067797,0.6666666666666666,0.7019083969465649,0.7664601084430674
instructor_base,0.43762028634660205,0.10951111667478339,0.004904849092142912,0.8256423053521471,0.44602328866946184,0.5792262975738528,0.736615309394388,0.07174860455434683,0.5110554533688476,0.006704569727082499,0.6666666666666666,0.668581081081081,0.7177685950413223,0.6666666666666666,0.7103305785123967,0.7780790085205267
kl3m_pico,0.402061262911321,0.09476259225702273,0.01762147404732949,0.5613811048312509,0.03003413081722684,0.2600401222814152,0.5613333332047856,0.14860941985283033,0.5001404201788527,0.07799818176738396,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7389885807504079
minilm,0.3104115144693631,0.06950444870573862,0.00548948746156045,0.803226490097777,0.5380416227375556,0.5990814717835911,0.6464734615444698,0.036195781108212054,0.4537556141028411,0.004085397165750886,0.6666666666666666,0.6670138888888889,0.7486725663716814,0.6666666666666666,0.7401709401709402,0.8072434607645875
mpnet,0.29225386115551477,0.06207755673749069,0.003709655174588211,0.8482104585031937,0.5693844599171988,0.6738000290816337,0.6849831209304315,0.03115416560033351,0.4604806165279409,0.002000962947716151,0.6677852348993288,0.6674496644295302,0.7743362831858407,0.6666666666666666,0.7700892857142857,0.8256693235234007
ogbert_110m_base,0.4517226486006192,0.11023025388606834,0.020176286245965232,0.7460288410584096,0.10399911198391884,0.49892560164718164,0.6232378569912242,0.1489207529373469,0.5249463176215223,0.09463633869653812,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7389885807504079
ogbert_110m_sentence,0.4517226486006192,0.11023025388606834,0.020176286245965232,0.7460288410584096,0.10399911198391884,0.49892560164718164,0.6232378569912242,0.14872654300483887,0.5232388773925054,0.09463633869653812,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7389885807504079
ogbert_2m_sentence,0.3408527837566349,0.0728251325996575,0.018876389653947015,0.5465447546584585,0.10645477008017165,0.3213975045693542,0.4792508528349263,0.11061307418432353,0.39963232427696205,0.07585018101683189,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7389885807504079
ogbert_v1_mlm,0.42197956004058823,0.09879156436267747,0.020354951767581557,0.6930415722026625,0.08347777887270495,0.42862026731551406,0.567886069813172,0.14742278300165493,0.4834222559267578,0.09050389052288253,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7389885807504079
roberta,0.49404085403210024,0.126596314072613,0.0032236761188805564,0.6416118791853668,0.012277812483373111,0.3185644431483729,0.5963514920723805,0.11105616779154784,0.5005271685975956,0.05901222912038871,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7389885807504079
tf,,,0.017686718238428052,0.8264262580877959,0.04982664351665857,,0.6658595662804601,0.09174649197840094,0.5500742625308503,0.07082385075109318,0.6666666666666666,0.6677852348993288,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7389885807504079
tfidf,0.4358668468616482,0.10053400104117431,0.014650469628101643,0.8781146397070739,0.3779867125906307,0.6239684558935902,0.7547230151264088,0.12094805833416553,0.6716212119236669,0.06369383271167792,0.6666666666666666,0.6685314685314685,0.6877118644067797,0.6666666666666666,0.7063559322033899,0.7785467128027682
