,category_retrieval,form_retrieval,geographic_clustering,lcc_classification,lcc_clustering,lcc_retrieval,lcgft_category_classification,lcgft_clustering,register_classification,register_clustering,same_audience_pairs,same_form_pairs,same_lcc_pairs,same_register_pairs,same_topic_pairs,topic_overlap_pairs
bert,0.4900536821678221,0.12064816439780039,0.019970136531627963,0.783170221207049,0.07683212452091286,0.48205891219529956,0.7060345739727146,0.17218083476832377,0.5998117288000684,0.0904917839294102,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7389885807504079
bge_base,0.4385564121018926,0.11348856799254545,0.003749171941006316,0.8495035784742193,0.4510939010834269,0.6047400762220771,0.7436797000828589,0.09746876398585672,0.5424813395918668,0.029979108021145583,0.6666666666666666,0.675,0.7267857142857143,0.6666666666666666,0.72,0.7832805071315373
bge_large,0.4530915168525953,0.11290371166549289,0.003897176505172734,0.8642627756553493,0.5307361343260408,0.6527991893260345,0.76249243006922,0.07429947307288054,0.5685914450986753,0.008519580045192328,0.6666666666666666,0.676950354609929,0.7315126050420168,0.6666666666666666,0.7224137931034482,0.7925743512028793
bge_small,0.4503950402555466,0.11394200926453368,0.004884682470811816,0.8389243001111168,0.4967869381880638,0.6071953747612232,0.734194179244127,0.09155562504619566,0.4877241131445992,0.019253627003450437,0.6666666666666666,0.6711805555555556,0.7299145299145299,0.6666666666666666,0.71875,0.7916006339144216
bm25,0.2843133902574539,0.07162992206887132,,,,0.49337267697245,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6667785234899329,0.7397800032835331
distilbert_base_uncased,0.47335720310592755,0.11388201281578363,0.018572835324184852,0.7718750493194226,0.06946916727164841,0.47916184490359853,0.688632032696935,0.17533702307404442,0.5782210021357825,0.09489479037723103,0.6666666666666666,0.6681506849315069,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7389885807504079
e5_base,0.49643538293724976,0.13881858824291676,0.003316475804986857,0.84435162725052,0.3903968619168397,0.5668864276642269,0.7661866741392946,0.09677025157765516,0.576213512206756,0.02559767569860798,0.6666666666666666,0.6720689655172414,0.6996212121212121,0.6666666666666666,0.6896428571428571,0.7617492288150971
e5_large,0.4881239807189349,0.1259535992528607,0.003631787716245582,0.8518780547029616,0.38973068780799197,0.5878983730153599,0.7748775495303172,0.1307343296277508,0.5860621385126157,0.01927862057041066,0.6666666666666666,0.6692857142857143,0.6958646616541353,0.6667785234899329,0.6857692307692308,0.7620401634974231
e5_small,0.4344208331303403,0.11192785962165094,0.005058864932384898,0.827239434420702,0.3648449536787666,0.5341505551131286,0.7400385894932543,0.09005313554265651,0.5119081118466966,0.015513772845342711,0.6666666666666666,0.668918918918919,0.683695652173913,0.6672297297297297,0.6833333333333333,0.7603247440875397
gte_base,0.43180768628059607,0.11254018022495602,0.0054546849261446,0.842713753981311,0.5639300340455159,0.6169489556440861,0.7303639903230703,0.07141564123024693,0.504783489929249,0.011574027888867452,0.6666666666666666,0.6744274809160306,0.7666666666666667,0.6666666666666666,0.7402654867256637,0.8069748580697486
gte_small,0.43601720402212113,0.11525588889137982,0.003906287633412512,0.8401695009258878,0.5271110598682525,0.606215289039948,0.7237918669587743,0.08450092094045279,0.4659940094932557,0.008213591164948202,0.6666666666666666,0.6830827067669173,0.7584070796460177,0.6666666666666666,0.7396551724137931,0.8014950166112956
gtr_t5_base,0.3148102561214113,0.07681388901221324,0.024778262393738384,0.813563731816937,0.4671314946385588,0.5734395364394189,0.6580298065961122,0.05867262724640906,0.46343430111755374,0.003760836337498825,0.6666666666666666,0.6666666666666666,0.6957627118644067,0.6666666666666666,0.704296875,0.7714550509731233
